Run,Sample,t,P,d636,d628,d627
2022-09-12,LINDE,914.910604,5.019438,27.508836,16.118222,8.464361
2022-09-12,WG,927.127213,5.021825,-0.018014,-0.012914,-0.028958
2022-09-12,LINDE,939.506706,5.012915,27.514356,16.126592,8.471761
2022-09-12,WG,951.832298,5.021917,-0.009564,-0.006357,-0.022967
2022-09-12,LINDE,963.929881,5.019143,27.516510,16.128829,8.474863
2022-09-12,WG,976.184422,5.012429,-0.011233,0.000496,-0.017310
2022-09-12,LINDE,988.023724,5.011012,27.515839,16.125198,8.473423
2022-09-12,WG,1000.365332,5.020249,0.000912,0.010751,0.000302
2022-09-12,LINDE,1012.552365,5.019965,27.514649,16.128322,8.492604
2022-09-12,WG,1025.042285,5.014272,0.006963,0.012750,0.008149
2022-09-12,LINDE,1037.232380,5.015905,27.521740,16.130727,8.491488
2022-09-12,WG,1049.135643,5.014990,0.000565,0.003509,0.005541
2022-09-12,LINDE,1061.272076,5.018832,27.512238,16.115449,8.480821
2022-09-12,WG,1073.111653,5.016689,-0.007122,-0.002739,-0.000860
2022-09-12,LINDE,1085.120361,5.014905,27.510404,16.117605,8.484407
2022-09-12,WG,1097.527239,5.019907,0.003023,0.002571,0.006030
2022-09-12,LINDE,1109.906964,5.018285,27.523792,16.129456,8.503631
2022-09-12,WG,1122.281744,5.013606,-0.000404,0.003785,0.008766
2022-09-12,LINDE,1134.290946,5.014220,27.508357,16.116773,8.488315
2022-09-12,WG,1146.702229,5.020052,0.004255,0.007041,0.020684
2022-09-12,LINDE,1158.812851,5.019168,27.523597,16.128548,8.510587
2022-09-12,WG,1171.251856,5.012740,0.012908,0.000918,0.017325
2022-09-12,LINDE,1183.258328,5.018069,27.528878,16.129074,8.510967
2022-09-12,WG,1195.350827,5.013118,0.019091,0.002425,0.022314
2022-09-12,LINDE,1207.719559,5.011304,27.525658,16.123788,8.511522
2022-09-12,WG,1220.066724,5.013712,0.001131,-0.010377,0.001652
2022-09-12,LINDE,1232.268689,5.016650,27.516603,16.111300,8.491343
2022-09-12,WG,1244.400407,5.020963,0.001423,-0.004779,0.012209
2022-09-12,LINDE,1256.783603,5.012147,27.520115,16.114071,8.496090
2022-09-12,WG,1268.643380,5.017441,0.007399,0.003798,0.016415
2022-09-12,LINDE,1280.303116,5.018989,27.531394,16.130237,8.513430
2022-09-12,WG,1292.654124,5.020374,0.010252,0.007752,0.022355
2022-09-12,LINDE,1305.038769,5.010951,27.514661,16.115357,8.496670
2022-09-12,WG,1316.731846,5.016511,-0.004967,-0.010078,0.003341
2022-09-12,LINDE,1328.867169,5.016177,27.519954,16.122673,8.500301
