Sample,N,d18O_VSMOW,SD_d18O_VSMOW,SE_d18O_VSMOW,95CL_d18O_VSMOW,d17O_VSMOW,SD_d17O_VSMOW,SE_d17O_VSMOW,95CL_d17O_VSMOW,D17O_VSMOW,SD_D17O_VSMOW,SE_D17O_VSMOW,95CL_D17O_VSMOW
HAWAI,5,41.9376,0.0681,-,-,21.7884,0.0375,-,-,-0.1369,0.0046,-,-
MIX_NH,4,24.5480,0.2840,0.1284,0.2639,12.7286,0.1476,0.0668,0.1373,-0.1566,0.0029,0.0018,0.0036
MIX_OH,6,13.7738,0.2608,0.1085,0.2231,7.0155,0.1370,0.0568,0.1167,-0.2319,0.0035,0.0015,0.0032
MIX_ONH,5,19.2735,0.2625,0.1167,0.2398,9.9333,0.1365,0.0608,0.1251,-0.1953,0.0034,0.0016,0.0034
NEEM,6,7.1671,0.2989,0.1087,0.2235,3.6767,0.1573,0.0571,0.1174,-0.1008,0.0033,0.0015,0.0030
OC4,6,-14.5085,0.0366,-,-,-7.8174,0.0192,-,-,-0.1316,0.0052,-,-
