Sample,water_d18O_VSMOW,water_D17O_VSMOW
C13D-SLAP2_x340,-55.594,0.000936
C13D-SLAP2_x396,-55.738,0.000948
C13D-SLAP2_x438,-55.286,0.000906
C13D-VSMOW2_x387,-0.030,-0.000679
C13D-VSMOW2_x438,0.003,-0.000679
C13D-VSMOW2_x520,-0.017,-0.000678
