Session,N,Na,Nu,d18O_VSMOW_scaling,SE_d18O_VSMOW_scaling,d17O_VSMOW_scaling,SE_d17O_VSMOW_scaling,d18O_VSMOW_of_wg,SE_d18O_VSMOW_of_wg,d17O_VSMOW_of_wg,SE_d17O_VSMOW_of_wg,RMSE_d18O_VSMOW,RMSE_d17O_VSMOW,RMSE_D17O_VSMOW
2023-10,21,10,11,1.0059,0.0003,1.0020,0.0003,8.404,0.008,4.306,0.005,0.107,0.057,0.0058
2023-12,13,11,2,1.0092,0.0003,1.0050,0.0003,8.558,0.008,4.378,0.005,0.031,0.016,0.0052
