UID,Sample,Session,P,d636,d628,d627,d18O_VSMOW,D17O_VSMOW,d18O_residual,D17O_residual
611610F6,C13D-SLAP2_x438,2023-10,4.9954,2.3228,-24.3359,-12.8969,-15.9934,-0.1452,-0.0030,-0.0065
C523437C,C13D-SLAP2_x340,2023-10,4.9960,2.3459,-24.8245,-13.1392,-16.4833,-0.1272,-0.2113,0.0119
1083C7A5,VSMOW2_x438,2023-10,4.9970,27.5678,32.8690,17.1377,41.3566,-0.1407,-0.0256,-0.0037
4DFEBF34,SLAP2_x450,2023-10,4.9964,27.7225,-24.5007,-12.9764,-16.1586,-0.1370,-0.0080,0.0035
34EADC52,C13D-VSMOW2_x520,2023-10,4.9962,2.2065,32.8363,17.1296,41.3237,-0.1320,0.0027,0.0058
DC225C00,VSMOW2_x416,2023-12,4.9985,27.5534,32.8535,17.1322,41.3901,-0.1415,0.0122,-0.0046
1C050F4E,SLAP2_x416,2023-12,4.9968,27.6846,-24.7016,-13.0658,-16.1276,-0.1336,0.0076,0.0071
9C4338EC,VSMOW2_x416,2023-12,4.9949,27.5402,32.8744,17.1556,41.4110,-0.1292,0.0331,0.0077
E1D6CACD,SLAP2_x416,2023-12,4.9973,27.7586,-24.6715,-13.0621,-16.0975,-0.1459,0.0377,-0.0052
FA87ADF7,SLAP2_x416,2023-12,4.9951,27.6996,-24.7343,-13.0929,-16.1603,-0.1433,-0.0250,-0.0026
62E275AA,VSMOW2_x416,2023-12,4.9971,27.5678,32.7911,17.1064,41.3278,-0.1352,-0.0501,0.0018
CFC2246C,SLAP2_x416,2023-12,4.9960,27.7119,-24.7098,-13.0750,-16.1357,-0.1385,-0.0005,0.0022
7C83E50F,VSMOW2_x416,2023-12,4.9954,27.5210,32.8462,17.1264,41.3829,-0.1435,0.0049,-0.0065
8D97F072,dCO2,2023-12,5.0024,2.0897,2.1025,1.0984,10.6591,-0.1375,-0.0530,0.0005
07476F5B,SLAP2_x416,2023-12,4.9967,27.7309,-24.6973,-13.0794,-16.1233,-0.1496,0.0120,-0.0089
82D8E05F,dCO2,2023-12,5.0027,2.1067,2.2086,1.1531,10.7651,-0.1386,0.0530,-0.0005
B1F9139C,SLAP2_x416,2023-12,4.9940,27.6802,-24.7407,-13.0864,-16.1667,-0.1333,-0.0315,0.0074
02335A6B,VSMOW2_x416,2023-12,4.9987,27.5294,32.8408,17.1319,41.3775,-0.1353,-0.0005,0.0016
ED0390AF,GRESP,2023-03a,4.9975,27.6206,-1.7752,-0.9308,6.7373,-0.1227,-0.0128,-0.0191
2259B1D6,SLAP2_x416,2023-03a,4.9967,27.7089,-24.6715,-13.0644,-16.1711,-0.1395,-0.0358,0.0012
75BC2690,SLAP2_x416,2023-03a,4.9973,27.6126,-24.6432,-13.0421,-16.1428,-0.1322,-0.0076,0.0085
1C3BDDD4,NBS19,2023-03a,4.9973,33.4223,28.6791,14.9770,37.2077,-0.1315,0.0086,-0.0011
72B3AED7,NBS18,2023-03a,4.9974,26.0452,7.0457,3.7301,15.5628,-0.0953,-0.0090,0.0060
B81FE53B,IAEA612,2023-03a,4.9963,-6.4719,18.2954,9.6415,26.8185,-0.0661,-0.0615,0.0085
95156507,IAEA611,2023-03a,4.9977,-0.3153,26.5352,13.8980,35.0627,-0.0979,0.1369,-0.0019
8FC4A68B,IAEA610,2023-03a,4.9968,21.8663,11.4293,6.0456,19.9488,-0.0756,0.0235,-0.0065
5BE566A1,IAEA603,2023-03a,4.9966,33.9050,28.3968,14.8351,36.9253,-0.1271,0.0940,0.0002
823810D4,SLAP2_x416,2023-03a,4.9977,27.6932,-24.6506,-13.0532,-16.1503,-0.1395,-0.0150,0.0012
C4EE9D70,IAEA610,2023-03a,4.9959,22.0598,11.4007,6.0409,19.9202,-0.0655,-0.0051,0.0037
7C152E42,VSMOW2_x416,2023-03a,4.9950,27.5164,32.8025,17.1115,41.3333,-0.1350,-0.0446,0.0019
D5A00735,IAEA611,2023-03a,4.9946,-0.2189,26.3109,13.7830,34.8382,-0.0965,-0.0875,-0.0004
88A679C9,IAEA612,2023-03a,4.9950,-6.4640,18.3979,9.6868,26.9211,-0.0741,0.0411,0.0004
4A0682CC,VSMOW2_x416,2023-03a,4.9948,27.5348,32.7924,17.1098,41.3232,-0.1315,-0.0548,0.0054
CBB28908,NBS19,2023-03a,4.9963,33.2986,28.6789,14.9758,37.2075,-0.1327,0.0084,-0.0023
3CF09497,NBS18,2023-03a,4.9974,26.1047,6.9886,3.6891,15.5058,-0.1064,-0.0661,-0.0051
7ABDA53A,SLAP2_x416,2023-03a,4.9949,27.6809,-24.5482,-13.0006,-16.0478,-0.1414,0.0875,-0.0007
AB407949,IAEA612,2023-03b,4.9953,-6.4304,18.4214,9.6864,26.9467,-0.0816,0.0667,-0.0070
F166686E,IAEA610,2023-03b,4.9956,21.9091,11.2944,5.9726,19.8195,-0.0739,-0.1058,-0.0048
DC7BBF2B,IAEA603,2023-03b,4.9966,33.8759,28.2869,14.7607,36.8125,-0.1377,-0.0188,-0.0104
36329CAC,IAEA611,2023-03b,4.9960,-0.1886,26.3212,13.7897,34.8466,-0.0891,-0.0791,0.0070
9A55CFC2,VSMOW2_x416,2023-03b,4.9960,27.5268,32.9459,17.1797,41.4716,-0.1341,0.0936,0.0029
A9F6D38E,SLAP2_x416,2023-03b,4.9959,27.6670,-24.6414,-13.0552,-16.1174,-0.1473,0.0179,-0.0066
98039C54,NBS19,2023-03b,4.9961,33.4214,28.6623,14.9615,37.1879,-0.1318,-0.0112,-0.0014
E1C18DB9,GRESP,2023-03b,4.9940,27.5836,-1.7570,-0.9091,6.7676,-0.1082,0.0175,-0.0045
41B10992,GRESP,2023-03b,4.9965,27.6306,-1.8001,-0.9318,6.7246,-0.1082,-0.0256,-0.0046
A4753AD2,VSMOW2_x416,2023-03b,4.9968,27.4987,32.8466,17.1004,41.3722,-0.1613,-0.0057,-0.0244
7FA354D1,NBS18,2023-03b,4.9966,26.2796,7.0125,3.7065,15.5375,-0.0980,-0.0344,0.0033
FFE381E9,IAEA603,2023-03b,4.9975,33.9216,28.3442,14.8145,36.8697,-0.1141,0.0385,0.0132
42BB77BC,IAEA611,2023-03b,4.9959,-0.2005,26.3412,13.7904,34.8667,-0.0986,-0.0590,-0.0025
44CF22AA,IAEA612,2023-03b,4.9945,-6.4778,18.3083,9.6413,26.8335,-0.0678,-0.0465,0.0067
E572839D,IAEA610,2023-03b,4.9961,22.0352,11.3632,6.0113,19.8882,-0.0712,-0.0370,-0.0021
BBE17D31,GRESP,2023-03b,4.9941,27.6134,-1.7149,-0.8685,6.8098,-0.0898,0.0596,0.0138
D4A5EC11,SLAP2_x416,2023-03b,4.9939,27.6508,-24.6338,-13.0525,-16.1098,-0.1486,0.0255,-0.0079
E21FE921,IAEA612,2023-03b,4.9952,-6.4707,18.3343,9.6454,26.8595,-0.0772,-0.0205,-0.0026
FA35DD82,IAEA611,2023-03b,4.9955,-0.3169,26.5274,13.8938,35.0529,-0.0920,0.1271,0.0041
D637E974,IAEA610,2023-03b,4.9956,22.1496,11.4567,6.0729,19.9817,-0.0587,0.0564,0.0105
29B1C2F3,IAEA603,2023-03b,4.9960,33.8830,28.2911,14.7714,36.8166,-0.1293,-0.0146,-0.0020
02F34EFA,GRESP,2023-03b,4.9961,27.6333,-1.8016,-0.9172,6.7231,-0.0930,-0.0271,0.0107
278BE4C4,GRESP,2023-03b,4.9938,27.5995,-1.7861,-0.9162,6.7385,-0.1000,-0.0116,0.0036
27B7345E,NBS19,2023-03b,4.9961,33.4217,28.6678,14.9708,37.1933,-0.1255,-0.0058,0.0049
81C5A461,VSMOW2_x416,2023-03c,4.9932,27.6199,32.8035,17.1192,41.3255,-0.1306,-0.0524,0.0063
FB1BB28B,IAEA603,2023-03c,4.9950,33.8903,28.3101,14.7944,36.8293,-0.1260,-0.0020,0.0013
3EF55BF4,IAEA610,2023-03c,4.9953,21.8443,11.4848,6.0854,19.9934,-0.0700,0.0681,-0.0008
F7D7E2B3,IAEA611,2023-03c,4.9960,-0.2262,26.3694,13.8106,34.8874,-0.1025,-0.0384,-0.0064
E6A60692,IAEA612,2023-03c,4.9964,-6.4375,18.3878,9.6793,26.9007,-0.0806,0.0207,-0.0060
6A562B31,NBS18,2023-03c,4.9958,26.2741,6.9530,3.6733,15.4586,-0.1090,-0.1132,-0.0077
A612BFCF,IAEA603,2023-03c,4.9954,33.9390,28.3957,14.8442,36.9149,-0.1206,0.0836,0.0067
1F0179A1,VSMOW2_x416,2023-03c,4.9936,27.5120,32.8537,17.1363,41.3757,-0.1393,-0.0022,-0.0024
920B7F76,NBS18,2023-03c,4.9953,26.2529,6.9532,3.6879,15.4589,-0.0946,-0.1130,0.0067
82B43A6D,IAEA603,2023-03c,4.9956,33.9341,28.3974,14.8383,36.9166,-0.1273,0.0853,0.0000
623094D1,SLAP2_x416,2023-03c,4.9968,27.6755,-24.5576,-12.9935,-16.0719,-0.1384,0.0634,0.0023
A18308B5,IAEA603,2023-06,4.9972,33.9564,28.2713,14.7891,36.7718,-0.1295,-0.0595,-0.0022
30DB023B,VSMOW2_x208,2023-06,5.0027,27.5307,32.7034,17.0752,41.2147,-0.1407,-0.0806,-0.0047
2EC2EA33,SLAP2_x208,2023-06,4.9972,27.6906,-24.4892,-12.9502,-16.1171,-0.1541,-0.1843,-0.0106
927F2D62,NBS18,2023-06,4.9970,26.3240,7.3214,3.9059,15.7709,-0.0897,0.1991,0.0116
01EFB792,NBS18,2023-06,4.9983,26.2971,7.3474,3.8889,15.7970,-0.1203,0.2252,-0.0190
24F71158,VSMOW2_x208,2023-06,5.0021,27.5300,32.7137,17.0750,41.2250,-0.1461,-0.0703,-0.0101
524D40E9,IAEA603,2023-06,4.9975,33.9802,28.3761,14.8633,36.8768,-0.1100,0.0455,0.0173
82DD7938,SLAP2_x208,2023-06,5.0025,27.6561,-24.3438,-12.8555,-15.9713,-0.1365,-0.0385,0.0070
52E771C8,IAEA603,2023-06,4.9977,33.8729,28.0327,14.6663,36.5326,-0.1285,-0.2986,-0.0012
446A7359,SLAP2_x208,2023-06,5.0019,27.6722,-24.3326,-12.8575,-15.9601,-0.1445,-0.0273,-0.0011
761341A4,NBS18,2023-06,4.9967,26.3287,7.4874,3.9956,15.9374,-0.0871,0.3655,0.0142
B412DBEE,VSMOW2_x208,2023-06,4.9977,27.5261,32.7670,17.1157,41.2784,-0.1333,-0.0169,0.0028
52ABB140,SLAP2_x208,2023-06,4.9981,27.6905,-24.3788,-12.8801,-16.0064,-0.1426,-0.0736,0.0009
2A97AD54,VSMOW2_x208,2023-06,4.9971,27.5231,32.7981,17.1240,41.3096,-0.1409,0.0143,-0.0049
0A3211B8,NBS18,2023-08,4.9968,26.2366,7.2532,3.8421,15.7528,-0.0908,0.1810,0.0105
1A76BC5C,IAEA603,2023-08,4.9967,33.8606,28.1702,14.7048,36.6988,-0.1356,-0.1325,-0.0083
16B8354D,VSMOW2_x208,2023-08,5.0017,27.5129,32.7393,17.0794,41.2743,-0.1300,-0.0210,0.0061
33AE3EAD,SLAP2_x208,2023-08,5.0017,27.6482,-24.3701,-12.9012,-15.9142,-0.1392,0.0186,0.0043
5311B079,IAEA603,2023-08,4.9967,33.8811,28.1152,14.6880,36.6437,-0.1241,-0.1875,0.0033
